question	optionA	optionB	optionC	optionD	answer	explanation
資料處理流程中，「資料視覺化」的主要目的是什麼？	增加資料儲存空間	以圖形或圖像方式呈現數據，幫助理解和發現模式	改變資料的原始數值	減少資料的維度	B	資料視覺化將複雜數據轉化為易於理解的圖表，有助於快速洞察數據趨勢和異常。
機器學習中，「強化學習」（Reinforcement Learning）的主要特點是？	需要大量的標註數據	透過與環境互動，從獎勵和懲罰中學習最佳行為	僅用於分類問題	只能處理結構化數據	B	強化學習模型透過試錯和獎勵機制，在動態環境中學習如何做出決策以最大化累積獎勵。
下列哪項是生成式AI在「安全性」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能被用於惡意目的，如深度偽造（Deepfake）	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI可能被惡意利用來生成虛假信息、圖像或音頻，造成社會問題和安全威脅。
No Code/Low Code平台在「限制」方面，下列哪項描述是正確的？	只能由非技術人員使用	可能難以與現有複雜系統深度整合	只能在本地環境運行	學習曲線非常陡峭	B	No Code/Low Code平台雖然易於使用，但在與企業現有複雜的IT系統進行深度整合時，可能會遇到挑戰。
如何善用生成式AI工具，下列哪項是重要的考量？	忽略AI生成的內容可能存在的偏見	僅依賴AI生成內容，不進行事實核查	了解AI工具的生成能力和局限性	將AI視為萬能解決方案	C	充分了解生成式AI工具的能力邊界和潛在局限性，是有效利用其功能的基礎。
生成式AI導入規劃中，「試用測試」的目的是什麼？	立即大規模部署	在小範圍內驗證模型性能和解決方案可行性	收集用戶個人數據	評估市場需求	B	試用測試是控制風險的關鍵步驟，用於在實際環境中驗證AI解決方案的效果，並及早發現問題。
AI的「分類」中，下列哪項是基於應用領域的分類？	弱AI與強AI	符號主義AI與連接主義AI	自然語言處理與電腦視覺	規則型AI與統計型AI	C	自然語言處理和電腦視覺是AI的兩個主要應用領域，分別處理文本和圖像數據。
資料隱私與安全中，「資料匿名化」的主要目的是什麼？	增加資料的儲存成本	移除或修改資料中的個人識別資訊，以保護隱私	提高資料的處理速度	確保資料的完整性	B	資料匿名化是保護個人隱私的重要技術，透過去除或模糊化識別資訊，使數據無法追溯到特定個人。
機器學習概念中，「特徵選擇」的主要目的是什麼？	增加模型的複雜度	從原始特徵中選擇最相關、最有用的子集，以提高模型性能和效率	隨機選擇特徵	僅選擇數值型特徵	B	特徵選擇有助於減少數據維度、降低過擬合風險，並提高模型的訓練速度和解釋性。
下列哪項是生成式AI的典型應用？	判斷電子郵件是否為垃圾郵件	根據文字描述生成圖像	預測客戶流失率	識別語音中的情感	B	根據文字描述生成圖像（Text-to-Image）是生成式AI最直觀且廣泛的應用之一。
No Code/Low Code平台在「優勢」方面，下列哪項描述是錯誤的？	降低開發成本	提高開發效率	增加對供應商的依賴	賦能業務用戶參與開發	C	增加對供應商的依賴是No Code/Low Code的潛在限制或風險，而非優勢。
如何善用生成式AI工具，下列哪項是重要的考量？	僅使用AI生成內容，不進行人工審核	鼓勵AI生成具有爭議性的內容	建立有效的審核機制，確保內容品質和合規性	忽略AI可能產生的幻覺（Hallucination）問題	C	建立審核機制對於確保生成內容的準確性、合規性和避免不當內容至關重要。
生成式AI導入規劃中，「風險管理」的目的是什麼？	避免所有風險	識別、評估和減輕與生成式AI應用相關的潛在風險	僅關注技術風險	將所有風險轉嫁給第三方	B	風險管理是一個持續的過程，旨在識別、評估和減輕潛在風險，以確保AI應用的穩健和負責任部署。
AI治理概念中，「問責制」（Accountability）的重要性體現在？	讓AI系統自主承擔責任	確保AI系統的決策和行為可以追溯到負責的實體或個人	限制AI系統的自主性	僅對AI系統的技術故障負責	B	問責制確保AI系統的行為和結果有明確的責任歸屬，這對於建立信任和處理潛在問題至關重要。
資料基本概念中，「結構化數據」的主要特點是？	沒有預定義的格式	儲存在固定格式的資料庫中，如表格	包含大量的圖像和音頻	難以進行查詢和分析	B	結構化數據具有明確的格式和組織方式，通常儲存在關聯式資料庫中，便於查詢和分析。
機器學習概念中，「交叉驗證」（Cross-validation）的主要目的是什麼？	增加訓練數據量	評估模型在未見數據上的泛化能力，避免過擬合	選擇最佳的特徵	調整模型的學習率	B	交叉驗證透過將數據集劃分為多個子集進行訓練和測試，更可靠地評估模型的性能和泛化能力。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	生成式AI可以為鑑別式AI提供合成數據進行訓練	鑑別式AI可以評估生成式AI生成內容的品質	兩者結合可以創造出更複雜、更智能的應用	兩者在任何情況下都不能結合使用	D	鑑別式AI和生成式AI可以相互補充，結合使用可以實現更強大的功能，例如生成數據用於訓練，或評估生成內容。
No Code/Low Code平台在AI解決方案設計與測試中的「優勢」是什麼？	只能由專業開發者使用	允許業務用戶直接參與AI應用的設計和測試	限制AI模型的選擇	部署過程複雜	B	No Code/Low Code平台賦予業務用戶更多自主權，使他們能夠直接參與AI解決方案的設計和測試，加速業務流程的數位化。
生成式AI應用領域中，下列哪項不屬於其常見應用？	虛擬人物的語音合成	異常檢測	文本風格轉換	圖像修復	B	異常檢測主要用於識別數據中的異常模式，屬於鑑別式AI的範疇，而非生成式AI的典型應用。
生成式AI風險管理中，下列哪項是關於「倫理」的考量？	確保模型訓練速度	評估AI生成內容可能帶來的社會影響，如版權、道德和偏見	選擇最便宜的AI工具	忽略數據偏見	B	生成式AI的倫理風險包括內容的版權歸屬、潛在的道德爭議以及可能加劇社會偏見等，需要仔細評估和管理。
下列哪項是AI治理概念中「可解釋性」的對立面？	透明度	黑箱模型	公平性	問責制	B	黑箱模型是指其內部運作機制不透明、難以理解的AI模型，與可解釋性相對立。
資料處理與分析中，「資料正規化」（Data Normalization）的主要目的是什麼？	增加資料的儲存空間	將不同尺度或範圍的數據轉換為統一的範圍，以避免某些特徵主導模型訓練	移除重複數據	改變資料的數據類型	B	資料正規化是預處理步驟，確保所有特徵在相似的尺度上，有助於模型更有效地學習。
常見的機器學習模型中，下列哪種模型主要用於處理圖像數據？	邏輯迴歸	卷積神經網絡 (CNN)	決策樹	K-Means 聚類	B	卷積神經網絡（CNN）因其在處理網格狀數據（如圖像）方面的優勢，廣泛應用於電腦視覺任務。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	使用生成式AI生成文本，再由鑑別式AI進行情感分析	僅使用鑑別式AI進行圖像生成	兩者獨立運行，互不影響	僅使用生成式AI進行分類任務	A	生成式AI可以創造文本內容，而鑑別式AI則可以對這些文本進行情感分析，是常見的整合應用。
No Code/Low Code平台在AI解決方案設計與測試中的「限制」是什麼？	只能處理小規模數據	可能無法滿足所有複雜的業務邏輯或特定演算法需求	學習曲線陡峭	部署過程複雜	B	No Code/Low Code平台雖然方便，但對於需要高度客製化或複雜演算法的應用，其靈活性可能不足。
如何善用生成式AI工具，下列哪項是錯誤的觀念？	將AI視為創造性工作的輔助	鼓勵AI生成具有版權爭議的內容	了解AI工具的局限性	結合人類專業知識進行審核和修正	B	應避免鼓勵AI生成可能侵犯版權的內容，並確保生成內容的合法性和道德性。
生成式AI導入規劃中，「需求確認」的主要目的是什麼？	確定模型的訓練時間	明確業務問題、目標和預期成果，以指導AI解決方案的開發	選擇最便宜的AI工具	忽略用戶反饋	B	清晰的需求確認是任何專案成功的基礎，確保AI解決方案能夠真正解決業務痛點並創造價值。
AI治理概念中，「公平性」（Fairness）的重要性體現在？	確保AI系統對所有用戶一視同仁，不產生歧視或偏見	讓AI系統的決策過程更難以理解	增加AI模型的訓練時間	降低AI模型的準確性	A	公平性要求AI系統在決策和行為上不偏不倚，避免因種族、性別、年齡等因素產生歧視。
資料隱私與安全中，「資料加密」的主要目的是什麼？	增加資料的儲存空間	保護資料在傳輸和儲存過程中的機密性，防止未經授權的訪問	提高資料的處理速度	確保資料的完整性	B	資料加密是保護數據機密性的重要手段，透過將數據轉換為密文，只有授權用戶才能解密訪問。
機器學習概念中，「超參數調優」（Hyperparameter Tuning）的主要目的是什麼？	增加訓練數據量	選擇最佳的機器學習算法	尋找模型的最佳超參數組合，以提高模型性能	評估模型的泛化能力	C	超參數調優是優化模型性能的關鍵步驟，透過調整學習率、隱藏層數量等超參數，使模型達到最佳表現。
下列哪項是生成式AI在「版權」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能與現有作品相似，引發版權歸屬爭議	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI可能在無意中生成與現有受版權保護作品相似的內容，導致版權侵權問題。
No Code/Low Code平台在AI解決方案設計與測試中的「優勢」是什麼？	只能處理小規模數據	促進業務部門與IT部門之間的協作	限制AI模型的選擇	部署過程複雜	B	No Code/Low Code平台透過簡化的開發流程，有助於打破業務與IT之間的壁壘，促進跨部門協作。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	僅依賴AI生成內容，不進行事實核查	了解AI工具的局限性，並進行事實核查	將AI視為萬能解決方案	C	即使是生成式AI，其生成內容也可能存在不準確或「幻覺」現象，因此進行事實核查至關重要。
生成式AI導入規劃中，「目標設定」的主要目的是什麼？	確定模型的訓練時間	明確AI解決方案預期達成的具體、可衡量、可實現、相關且有時限的目標	選擇最便宜的AI工具	忽略用戶反饋	B	明確的目標設定（SMART原則）是確保AI專案成功的關鍵，它為整個開發過程提供了方向和衡量標準。
AI治理概念中，「可靠性」（Reliability）的重要性體現在？	確保AI系統在不同條件下都能穩定、一致地運行，並產生預期的結果	讓AI系統的決策過程更難以理解	增加AI模型的訓練時間	降低AI模型的準確性	A	可靠性確保AI系統在各種操作環境和輸入條件下都能持續提供準確和穩定的性能。
資料處理與分析中，「數據集成」（Data Integration）的主要目的是什麼？	增加資料的儲存空間	將來自不同來源、格式和結構的數據合併到一個統一的視圖中	移除重複數據	改變資料的數據類型	B	數據集成是將分散的數據匯聚起來，形成一個全面且一致的數據集，為分析提供基礎。
常見的機器學習模型中，下列哪種模型主要用於處理文本數據？	卷積神經網絡 (CNN)	循環神經網絡 (RNN)	決策樹	K-Means 聚類	B	循環神經網絡（RNN）及其變體（如LSTM、GRU）因其處理序列數據的能力，廣泛應用於自然語言處理任務。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	使用生成式AI生成虛擬客服對話，再由鑑別式AI判斷用戶意圖	僅使用鑑別式AI進行圖像生成	兩者獨立運行，互不影響	僅使用生成式AI進行預測任務	A	生成式AI可以創造對話內容，而鑑別式AI則可以理解用戶的真實意圖，兩者結合可提升客服體驗。
No Code/Low Code平台在AI解決方案設計與測試中的「限制」是什麼？	只能處理大量數據	可能導致對特定平台或供應商的依賴	學習曲線陡峭	部署過程複雜	B	供應商鎖定是No Code/Low Code平台的一個潛在風險，可能限制未來的靈活性和選擇。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	僅依賴AI生成內容，不進行事實核查	了解AI工具的局限性，並進行事實核查和人工修正	將AI視為萬能解決方案	C	結合AI的生成能力與人類的審核和修正，是確保內容品質和準確性的最佳實踐。
生成式AI導入規劃中，「試用測試」的目的是什麼？	立即大規模部署	在小範圍內驗證模型性能和解決方案可行性，並收集用戶反饋	收集用戶個人數據	評估市場需求	B	試用測試不僅驗證技術可行性，也收集早期用戶反饋，以便在全面部署前進行調整和優化。
AI的「定義」中，通常強調AI系統具備哪些能力？	僅限於計算和數據儲存	學習、推理、解決問題、感知和理解語言等類人智慧能力	僅限於重複性任務的自動化	只能在預設規則下運行	B	AI的定義核心在於模擬和展現人類的智慧能力，包括學習、推理、解決問題等。
資料隱私與安全中，「資料去識別化」與「資料匿名化」的關係是？	兩者是完全相同的概念	資料去識別化是資料匿名化的一種方法	資料匿名化是資料去識別化的一種方法	兩者互不相關	C	資料匿名化是透過移除或修改識別資訊來保護隱私的過程，而資料去識別化是實現匿名化的一種廣泛策略，包含多種技術。
機器學習概念中，「模型評估指標」的主要作用是什麼？	增加模型的複雜度	量化模型性能，幫助選擇最佳模型和調整參數	選擇最佳的特徵	調整模型的學習率	B	模型評估指標（如準確率、精確率、召回率、F1分數等）提供客觀標準來衡量模型在特定任務上的表現。
下列哪項是生成式AI在「道德」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能違反社會道德規範或引發倫理爭議	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI可能生成具有道德爭議的內容，如歧視性、煽動性或不實信息，需要嚴格的道德審查和規範。
No Code/Low Code平台在AI解決方案設計與測試中的「優勢」是什麼？	只能處理小規模數據	降低對專業開發人員的依賴，加速業務創新	限制AI模型的選擇	部署過程複雜	B	No Code/Low Code平台使非技術人員也能參與AI應用的開發，從而加速業務創新和數位轉型。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	僅依賴AI生成內容，不進行事實核查	了解AI工具的局限性，並進行事實核查和人工修正，同時注意版權問題	將AI視為萬能解決方案	C	全面考量生成式AI的優勢與局限，並結合人工審核、事實核查和版權意識，才能負責任地使用。
生成式AI導入規劃中，「導入評估」的主要目的是什麼？	確定模型的訓練時間	評估生成式AI技術在特定業務場景中的適用性、潛在效益和風險	選擇最便宜的AI工具	忽略用戶反饋	B	導入評估是決定是否採用生成式AI的關鍵步驟，它全面分析技術可行性、商業價值和潛在風險。
AI治理概念中，「安全性」（Security）的重要性體現在？	確保AI系統免受惡意攻擊、數據洩露和未經授權的訪問	讓AI系統的決策過程更難以理解	增加AI模型的訓練時間	降低AI模型的準確性	A	安全性確保AI系統及其數據在整個生命週期中都受到保護，防止惡意行為和數據洩露。
